chunk_id,document_filename,document_date,document_language,section_number,detected_script,chunk_words,compliance_flags
Универсальныи_договор_узб_25.09.2025__chunk_39,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,39,[]
Универсальныи_договор_узб_25.09.2025__chunk_40,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,36,[]
Универсальныи_договор_узб_25.09.2025__chunk_41,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,14,[]
Универсальныи_договор_узб_25.09.2025__chunk_42,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,13,[]
Универсальныи_договор_узб_25.09.2025__chunk_43,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,16,[]
Универсальныи_договор_узб_25.09.2025__chunk_44,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,21,[]
Универсальныи_договор_узб_25.09.2025__chunk_45,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,54,[]
Универсальныи_договор_узб_25.09.2025__chunk_46,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,16,[]
Универсальныи_договор_узб_25.09.2025__chunk_47,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,12,[]
Универсальныи_договор_узб_25.09.2025__chunk_48,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,23,[]
Универсальныи_договор_узб_25.09.2025__chunk_49,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,24,[]
Универсальныи_договор_узб_25.09.2025__chunk_50,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,21,[]
Универсальныи_договор_узб_25.09.2025__chunk_51,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,27,[]
Универсальныи_договор_узб_25.09.2025__chunk_52,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,20,[]
Универсальныи_договор_узб_25.09.2025__chunk_53,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,29,[]
Универсальныи_договор_узб_25.09.2025__chunk_54,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,49,[]
Универсальныи_договор_узб_25.09.2025__chunk_55,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,29,[]
Универсальныи_договор_узб_25.09.2025__chunk_56,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,16,[]
Универсальныи_договор_узб_25.09.2025__chunk_57,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,45,[]
Универсальныи_договор_узб_25.09.2025__chunk_58,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,31,[]
Универсальныи_договор_узб_25.09.2025__chunk_59,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,29,[]
Универсальныи_договор_узб_25.09.2025__chunk_60,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,20,[]
Универсальныи_договор_узб_25.09.2025__chunk_61,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,22,[]
Универсальныи_договор_узб_25.09.2025__chunk_62,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,32,[]
